Question,Category
كم حبة أوميغا 3 في اليوم للنساء؟ علمًا أني لا أعاني من أي مشاكل صحية وأتناول الأسماك بشكل دوري وفقط أريد تناوله للحصول على فوائده الصحية,التغذية والدواء
لدي اكتئاب وقلق حادواخذ دولوكسيتين120وكلونازيبام2سأسحب كلونازيبام وبعد سحبه اريد استخدام هيدروكسيزين وسؤالي هل استخدام هيدروكسيزين فترة طويلة يسبب الادمان فالقلق يكاد يقتلني,الصحة النفسية
في بعض الاشهر تمر جدتي المقعده في حاله لاتستطيع النوم فيها لمده ٣ ايام الى يومين في اغلب الاشهر وفي تلك الفتره تستمر في الكلام حتا تنام مع العلم هي...,الأمراض العصبية
لدي طفلة عمرها اسبوع تتبرز بشكل كبير بعد كل رضعه وخلال دقائق من الرضاعه مع رائحه كريهة للبراز ويكون سائل وفيه كتل لونه ابيض كيف اعرف انه سوء امتصاص او...,صحة الطفل
انا ارضع ويمكن عندي مرض الجرب هل ممكن ارضاع طفلي وماذا استخدم لطفلي كي لاتصله العدوى عمره 40 يوم,صحة الطفل
السلام عليكم عندي رغوة في البول و بعد مدة من ظهور الرغوة اصبحت تاتي حرقة مؤلمة اثناء التبول مع العلم ان مجرى عندما نظرت اليه توجد بعض التقرحات ارجوا الافادة...,المسالك البولية
السلام عليكم جدتي عمرها 67 أجريت لها عملية تغير صمام تاجي من خمس سنوات والان تحتاج إلى عملية أخرى لنفس الصمام لكن قال أحد الأطباء ان هناك خطرا عليها بنسبة...,القلب والأوعية الدموية
لدي تهدل صمام تاجي ماسببه وماهي طرق علاجه,القلب والأوعية الدموية
"ورمضان مبارك عليكم.
عندي مشكلة مش عارفة اذا هو الم بالاعصاب بس انا كنت بطبعي بمشي وبحرك كتير لكن من فترة حوالي اسبوعين وانا عندي الم رهيب بالارجل طول النهار...",العظام والمفاصل
تآكل في غضروف الركبة اليمني من الدرجة الثانية نتيجة ارتداد الكرة بقوة في القدم علما بانني قمت بعمل جلسات علاج طبيعي 12 جلسه وتناولت اتش الفا الالماني لتكوين الجيلاتين ومضاد...,العظام والمفاصل
كيف يمكنني تخفيف وزن الفخذين او المنطقه التي أسفل الظهر مع العلم ان جسمي معتدل عدا منطقة الفخذين .,التغذية والدواء
شاب عمري 25 سنة لدي التهاب في الخصيتين لمدة 3 سنوات بعد التشخيص قال لي الدكتور لديك قيلة منوية مؤخرا تجمدت خصيتاي ولم اعد احس بها كانها ميتة هل حدسي...,المسالك البولية
ابنتي تعاني من مرض صرع منذ طفولتها والآن تتعالج منه بالتجريتول لمدة اربع سنوات وهناك تحسن بسيط ولكن عندما كبرت صارت افكارها متأثره امام صديقاتها ما الحل الجذري؟,الأمراض العصبية
خلعت ضرسي قبل خمس ساعات و لكن النزيف لم ينقطع ، ماذا أفعل ؟ وهل هي حالة طبيعية ؟,طب وصحة الأسنان
تقرحات علي شفاهي,طب وصحة الأسنان
بنتي عمره 3 سنوات وتشكي من حكه وحرقه في المنطقه التناسليه ولاكن لاتوجد اي احمرار في المنطقه ماسبب ذللك وما العلاج,الجلدية والتجميل
اعاني من الطول الزائد هل يمكنني ان احصل على علاج لتوقف نمو العظام اول التقليل من الطول المفرط,العظام والمفاصل
"عندي سمنه مفرطه وزني ٧٤ ط و لي١٢٠
زياره الوزين في المنطقة الأماميه",التغذية والدواء
اصيبت امي بسرطان الثدي منذ اكثر من عام وقامت بازالة الثدي والغدد الليمفاوية واخذت علاج كيماوي واشعاعي ... الآن وبعد حوالي 16 شهر قامت بعمل تحليل دلالات اورام CA 15.3...,الأورام
ابني عمره ثلاثه اشهر وهو كثير البكاء ويحب شرب الحليب بكثره حتئ وهو شابع اتمني ان تساعدوني,صحة الطفل
ماهي اعراض مرض البروستات عند الرجال ومتى يكون ذالك,المسالك البولية
"السلام عليكم ورحمة الله تعالى وبركاته
كيف يمكن علاج شخص قام بعمل حرك فنم احتكاك بين سروال التحتي و الدكر .اي حكرة يقوم بها تعطيه الم في الدكر تحت المكان...",المسالك البولية
"الفحص
Tsh 3.12
0.27 _ 5.0",الباطنة والغدد الصماء
التورام فى الصبع الكبير فى القدم اليمنى,العظام والمفاصل
السلام عليكم انا بنت عمري ٢١ سنه اعاني من ألم في بطه الساق اليمنى فقط مع تورم و إحمرار وعند الضغط ع المنطقه أتألم أكثر وعند المشي تتورم اكثر وتتصلب...,القلب والأوعية الدموية
انا اعاني من النقط السوداء في الساق والشعر تحت الجلد,الجلدية والتجميل
نغزات في صدري الايسر,القلب والأوعية الدموية
يوجد بعيني شي مزعجني وهو عند النظر يظهر لي شي مثل الفراشه وفي بعض الاحيان يكبر حجمها وبعض الاحيان يكون وسط توترني نفسيآ ذهبت الى طبيبين وصرفت لي قطرات لكن...,طب العيون
انا ولد عندی 16 سنه و جالی برد عادی وبعديها جالی صداع من الامام و والوسط و مرات فی الخلف و الان اتحسس علی راسی من الخلف اشعر بانتفاخ فی...,الأمراض العصبية
لدي وحمة مند ولادتي وقررت ان ازيلها بعد ان رأيت طبيب التجميل وقال لي ان الوحمة ستزال في حصة واحدة وستكون الخياطة تجميلية ومع المراهم لن يبقى أتر فهل صحيح...,الجلدية والتجميل
ماسبب الطبقه البضاء على اللسان وحبوب اخره علما اني لدي غازات وامساك وهل لها علاقه بالايدز,طب وصحة الأسنان
"سألت في هذا الموقع عن خلع ضرس عقل تسبب لي مشكل(المشكل موضح بصورة مرفقة) فتمت إجابتي أن الخلع لن يكون سهلا
فهل صعوبة الخلع هي أن الضرس تستغرق وقتا في...",طب وصحة الأسنان
ضيق نفس ولا ارتاح الا عندة خروج التنهيدة واحيانا يصاحبة ثقل على الاكتاف وعجز في الزند وتعب وفحطة علما رافق هذة حالتي خفقان وعملت ايكو واعطاني حب بيتالوك قل تقريبا...,القلب والأوعية الدموية
زولاديكس هل ينفع لعلاج الأورام اللمفاوية وهل يحصل انجاب بعد استخدامها,الأورام
هل يمكننى استعمال نو هير كريم اثناء الرضاعه,التغذية والدواء
السلام عليكم دكتور عندي بنت عمرها ٩ سنوات منذ الولاده وعندها وحمات في جميع الجسم لونها بني هل يوجد علاج,صحة الطفل
كيف يمكن التنبؤ او معرفة مدى استغناء مريض فشل كلوى حاد فى الكلية اليمنى فقط عن جلسات الغسيل الكلوى ؟,المسالك البولية
زوجتي تأكل ثلج كثيرا ويوميا هل هذا الأمر يسبب لها مشاكل صحية علي المدي البعيد؟ وكيف تحافظ علي أسنانها من التأكل بسبب أكل الثلج ؟ وشكرا,طب وصحة الأسنان
كيف نزيد من حمضية البول,المسالك البولية
هل يمكن استخدام قطرة لوميجان على الشعر حتى يصبح افضل خصوصا انى اعانى من تساقط في الشعر,الجلدية والتجميل
انا لدي الم بحلقي و كأن بداخله شيئا مشدود و لا استطيع اخذ النفس كاملا من شدة الالم الذي ينتشر فجأتا الى صدري و معدتي ولا استطيع التحدث او البلع...,أنف وأذن وحنجرة
"السلام عليكم انا اعاني من مشاكل في اعصاب الوجه
الجها السيرا الاعصاب
هل لديكم اي علاج لي ذالك",الأمراض العصبية
"لاحظت من صغري وأنا بعمر (14) أن لدي حالة بطء شديدة، ولم ألاحظ إلا بعد ما لاحظ الناس، ولا أتذكر بداية الحالة لأنني كنت لا أعلم بها.
أبلغ الآن (21)...",الصحة النفسية
لدى أبي ورم خبيث بالبنكرياس ومنتشر بأنحاء الجسم اكتشفه منذ 15 يوم تقريبا والآن يعيش على المسكنات هل هناك فائدة مرجوة من خزعة أو علاج كيماوي,الأورام
السلام عليكم انا عندي مشكل ماما مريضة بداء الالتهاب الحوضيي دائما فيها الٱلم قامت بزيارة الأطباء بس بيعطوها الٱدوية ...بس الألم رجعلها شو الحل ؟,المسالك البولية
"انا ماشى على ديباكين وكنفليكس مش بانتظام وحاليا حاسس بهبوط والم فى البطن وعرق وعدم تركيز وحاسس بخفقان
هل هذا سببه الصرع ولا حاجه تانيه
شكرا لحضراتكم",الأمراض العصبية
طبعا العمر 11سنه في خراج ظهر فوق الانياب مرة كبير وبعد فترة بسيطة يبدا لونه يصير ابيض ويفقع ويطلع لون ابيض بس مايصغر مرة يصغر شوي بس (الخراج في اللثة...,طب وصحة الأسنان
اثناء ممارسة الرياضة سقطت بقوة فالتوى اصبع قدمي الصغير و الاصبع المجاور له في البداية شعرت بالم شديد و بعد قليل انتفخ قليلا و اصبحت اواجه صعوبة في المشي و...,العظام والمفاصل
انا متزرجة و المشكلة ان ضعف حركة الحيوانات المنوية لدى رزجي ضعيفة دهبنا الي الطبيبة و قدمت له فيتامينات هل سيطول العلاج ام سيشفى زوجي ’’’,المسالك البولية
"السلام عليكم
لو سمحتوا حابه اعرف الوالد طلع معه ورم سرطاني في القولون وحجمه كبير وظاغط ع الامعاء ومسبب انسداد للامعاء وعنده ماء ع الكليه وركبوا له دعامه وفتحه في...",الأورام
عندي ورم في الرأس سببه تلف الأعصاب,الأورام
السلام عليكم ، لدي حبيبتي تعاني من إكتاب في بعض الاحيان وتنتابها نوبات اختناق وﻻ تستطيع التنفس ودوخه ،,الصحة النفسية
"نوبات صرع منذو ثمان سنين تقريبا لو احسبها تنعد ع الاصابع
الاطباء تشخيص شفهي انو صرع واطباء ممكن مايكون صرع",الأمراض العصبية
"انا لدي هالات سوداء داكنة جدا ومزعجتني الصراحة... مع اني انام جيدا واشرب كميات كافية من الماء...
ملاحظة لدي انسداد نصفي في الانف
يعني انف مسدود والثاني لا
وشكرا جزيلا",الجلدية والتجميل
عمري 22عملت تحليل تيستستيرون وطلعت النتيجة 13ngml هل هذا طبيعي رغم عدم وجود شعر الوجه او خشونة الصوت,الباطنة والغدد الصماء
انا عندما اريد ان اذاكر ارى تشوش ولا استطيع الروئية ليس فقط في الكتب انما في شاشة التلفاز لا استطيع الروئية انا لا استطيع الروئية فاليل وبعض الاحيان في النهار...,طب العيون
دهبت لاخصائي قي المسالك البولية عندي كيس في الجهة اليمنى من الخصية امرني الطبيب بفعل اكوكرافي عند اختصاصي وجدت الكيس فيه ماء 10ملم امرني باسناصاله عن طريق عملية هل هناك...,المسالك البولية
"السلام عليكم
اعاني من بعض التشنج العضلي في الطرف السفلي الأيسر و امتد الی المنطقة الإربية اليسری وقليلا باتجاه كيس الصفن والخصية اليسری وبدون آلام او تجعدات جلدية او انتفاخات",العظام والمفاصل
قلق وخوف والان اكل باركسات 10 وكبسوله قودمتيل 50 وابي اخاف العلاج,الصحة النفسية
انااعاني من انتفاخ في جفون عيني وكتب لي الدكتور optidex t لو هذه القطره قد تضر عيني لوجود بها كرتوزون فماذا افعل وكتب لي اقراص امبيزيم ومرهم ديكساترول هل هذا...,طب العيون
"السلام عليكم ورحمة الله وبركاته
عندي استفسار بخصوص حالة ربط اللسان عند الرضع ابني عمره شهرين ولديه هذه الحاله هل لعملية ازالتها مضاعفات وكيف تتم هذه العمليه وشكرا""",طب وصحة الأسنان
أجريت عملية تكبير الثدي بالسيليكون والان صدري مرتخي من ثقل السليكون والسيليكون داخل صدري يتحرك,الجلدية والتجميل
ارجو ادراج سؤالي ضمن قسم الاورام الحميدة و الخبيثة.....ما هي يوجد علاقة بين العادة السرية وسرطان البروستات..,الأورام
"منذ زمن وانا عندما استيقظ فجاه او اقوم من الحاسوب فجاه لبضع ثوان اشعر بدوار ولا اسطيع ان الرؤيه.
هذه الايام تطور الامر واصبح ان بامكاني السقوط لثواني ع الارض...",القلب والأوعية الدموية
تواجد الكليتين بغير مكانهما الطبيعي هل هو مضر بالصحة مع العلم بانه شئ خلقي,المسالك البولية
اريد الزيادة في الوزن علما ان طولي 175م و وزني 55,التغذية والدواء
"السلام عليكم ورحمة الله وبركاته
اذا سمحت دكتور
........................................
انا سمعت ان استخدام حجر الخفاق على الجلد بعد الشاور بحركات دائرية تزيل الشعر .... وبالتكرار تقلل ظهور الشعرمرة اخرى.
فما...",الجلدية والتجميل
اخي لديه التهاب البنكرياس الحاد والان هوة راقد في المستشفى يتلقى العلاج ومنذ ما لا يقل عن ثلاث ايام لم يخرج منه غازات او غائط فهل هذا يؤثر عليه مع...,الباطنة والغدد الصماء
كيف اعالج بسمار اللحم,الجلدية والتجميل
مرحبا مند الخميس الماضي كنت اعاني من ألم في ضرس العقل مع انتفاخ في الخد ومند البارحة لاحظت تكون كتلة جانبة ضرس العقل يخرج منها صديد وموعدي مع طبيب الأسنان...,طب وصحة الأسنان
يومين في الصباح اشرب مويه علي الريق وبعدها بثواني قولوني يتهيج وأحس بعصاره وألم حاد ونبض وإسهال مويه والفضلات تخرج مني بالم قوي؟ايش المشكله والعلاج المناسب؟وشراب الكابتن مفيد؟,الباطنة والغدد الصماء
ابني عمره 40يوم يرضع طبيعي وصناعي احيانا .ﻻحظت منذ اسبوع انه يصدر طقطقه من فمه اثناء الرضاعه( المص) حاولت تغيير وضعيه الرضاعه وبقي الصوت/ ما السبب؟ وهل هذا الشئ يؤثر...,صحة الطفل
"السلام عليكم
اعاني من لسع ( او لسعة باردة كان عيني في ثلاجة ) في عيني الاثنين عند تعرضهن الى هواء المروحة السقفية او هواء جهاز التبريد فما السبب وشكرا",طب العيون
ابنتى عمرها 6 سنوات وتعانى من كهرباء زيادة بس تليف فى الجزء الشمال من المخ وقد نصحني الطبيب فى حالة عدم الاستجابة للعلاج أن يتم استصال الجزء المتليف وأود أن...,الأمراض العصبية
ما اسباب الام الخسيه عند اثارتك او اثارت شهوتك او التفكير في الزواج,المسالك البولية
الحركه ٢٣% كم يجب يكون العدد المناسب لهذه الحركه بعيدا عن تحسين الحركه العدد كم يكون ليكون طبيعي التحليل ٤٠ مليون - علما اني مداوم على التغذيه المتوزنه و الرياضه...,المسالك البولية
هل تهدل الصمام شى خطير وهل يحتاج الى علاج نفسي لانه لدي وسواس هل التفكير يوثر على التهدل,القلب والأوعية الدموية
انا مريض بضيق في شرايين القلب عملت قسطرة 3 مرات وتم تركيب 4 دعامات الان اعاني من ضيق في التنفس بعد اضافة علاج بلافيكس 75 مج و بروكورالان 5 مج...,القلب والأوعية الدموية
غدد محسوسه و ترى بالعين في منطقه الابطين و المنطقه الاربيه جميع تحاليلي سليمه و عملت سونار و كانت اكبر غده بمقاس 15x6 للعلم انا نحيف,الأورام
عندي الم بالرقبة والفك من سنتين ونصف ومن فترة قصيرة طلع عندي بجانب الرقبة الايمن خمسة كتل بحجم حبة الحمص قرب بهضهن ومسببات الم متوسط وقبل ضهورهن بفترة عملت صورة...,أنف وأذن وحنجرة
"أسباب ارتفاع الكوليسترول والدهون بالدم وأسباب السمنه والبدانة. ?
أسباب ارتفاع الاستروجين لدي الكثير من الرجال. ?",القلب والأوعية الدموية
والدى عنده تليف بالكبد بمقدار3.5فى 4.5 سم ، وتحليل Afp طلع 2.8، ماذا افعل,الباطنة والغدد الصماء
اصبت بنوبة القلون العصبي وحدث لي الم اسفل البطن فوق العانة وهذا الام له شهرين ولم يختفي الام مع العلم بانه ليس قوي ويختفي اثناء النوم ويزداد معي اثناء النهار...,الباطنة والغدد الصماء
عندي ثلاثة كسور خفيفة(شعر )في الحوص اثنان منها في الاسكيه من الجهة اليسرى وواحد في العانة من الجهة اليمنى كم مدة جبر هذه الكسور؟ مع العلم أن عمري ست عشرة...,العظام والمفاصل
ذهبت إلى طبيب مخ وأعصاب بعد معاناتي من عوارض شد وتنميل؛بعد الفحص والصور ظهر أن النتيجة سليمة الحمدلله وأنا القلق والتوتر السبب وصف لي sertatad 50mg نصف حبة يومياً لمدة...,الأمراض العصبية
أعاني منذ حوالي ستة أشهر من عدة أعراض أبرزها حدوث تسرع في القلب وضيق في النفس وبرود أطراف، وغالبا هذا الأمر يكون مرافق لحالات التوتر والخوف والقلق وصرت أشعر بالناس...,القلب والأوعية الدموية
لقد أصبت بالسكري منذ أربع سنوات تقريباً ولم اتناول اي دواء منذ ذلك الحين لا حبوب السكري ولا ابر الانسولين الا انني احتمي من كل مسببات ارتقاع السكري بالدم (...,الباطنة والغدد الصماء
أنا عمري 18 أعني من كثرة التبول مع الشعور بحرقة وعدم الرحة في منطقة تحت البطن معا أن فحص البول سليم,المسالك البولية
ماهوتاثير دوالي الخصية على النطف,المسالك البولية
أشعر بألم في ورم حميد نشط في الغده الدرقيه علما انه بدايه المرض لم أشعر بأي نغزات ولي تقريبا شهر أشعر بألم وتورم في الورم سؤالي هل النغزات التي اشعر...,الأورام
من هو الطبيب الذي علي مراجعته لانني اعاني من رائحة فم كريهة و هل لديك ما تنصحني به,طب وصحة الأسنان
السلام عليكم انا فتاة عمري 26 سنة ظهرت مؤخرا كتلة صغيرة قريبة من الثدي الايسر تسبب ألم أثناء لمسها هل يكون السبب مزيل العرق الذي استعمله أم مرض خبيث إذا...,الأورام
عاجل!!بعد نتف الشعر من جسمي بالحلاوة تظهر لي حبوب حمراء تزعجني أريد مكون طبيعي لمنعها من الظهور ??,الجلدية والتجميل
بنتى عنده 5سنين و8شهور بتخش الحمام اكثر من 8مرات فى اليوم,صحة الطفل
قلق وتوتر وضيق تنفس وآلام في عضله القلب وكآبه وحزن طوال الوقت وارق بشكل فظيع,الصحة النفسية
"لدي طفل عمره سنة وشهرين لم يجلس إلى الآن ولايستجيب للأصوات ولايسمع ودائما يهز رأسه يمينا ويسارا ويتفاعل مع الشخص الذي أمامه وكثيرا مايتفاعل مع الاضاءات بكافة أشكالها
فما الحل؟",صحة الطفل
عندي ورم في الخصية اليمنى واشعر بأن الخصية اليسرى يصغر حجمها مع الم خفيف جدا جدا في الخصية اليمنى في بعض الاوقات وبعض الاحيان يخف الورم ويعود افتونا حفظكم الله,المسالك البولية
انا عمري 20 سنة و قضيبي لاينمو طوله لا يتجاوز 10 س اريد حل لاني مقبل على زواج,المسالك البولية
"السلام عليكم
عمري 21عاما
اعاني من حرارت في انحاء جسمي
و جسمي ينمل باالكامل و اشعر بالتعب
و اشعر ببعض العقد في الفخدين
ربما يكون روماتيزم في الدم
مادا افعل...",العظام والمفاصل
هل فقر الدم يسبب بحالة التوتر والقلق واكتئاب,الصحة النفسية
عند ذهابي للنوم احياناً وعند اقفال العين اشعر بدوران او دوخه مع اهتزاز بالجسم فمالسبب؟,طب العيون
لم تستقر حالة عدم انتظام ضربات القلب لدي الّا بتناول 100ملغ يوميا من دواء الكوردارون ولم ينفع اي بديل غيره..اعرف اثاره الجانبية وها انذا اتناوله مضطرامنذ ثلاث سنوات..السؤال ه,القلب والأوعية الدموية
اشعر بصداع متواصل ونبض علي جانبي الراس مع حرقان في العين وكشفت عيون وانف واذن ومخ واعصاب وباطنة واجريت أشعة وتحاليل وكلها سليمة ماعدا فيتامين د كانت نسبته ٨ واخذت...,طب العيون
عندي 23سنة أعاني من سقوط شديد بالشعر علما بأن نسبه الأنيميا بسيطه لدي فما الحل علما بأني أم مرضعه ؟,الجلدية والتجميل
ان والدي عمره 47 يعاني من دقات قلب سريعه مع العلم انه لا يغضب كثيرا وهو هادئ لكنه يدخن يوميا ما السبب و ما هو العلاج و ما يجب ان...,القلب والأوعية الدموية
"طلب الطبيب من زوجتى أشعة مقطعية على المخ لأنها تعانى من وخز ودوخه وكانت النتيجة Left Basal ganglia hypodense area likely ischemic for
MRI DWI correlation.
فهل هذا خطر",الأمراض العصبية
ما هو أفضل علاج للغدة الدرقية وهل اكمل تناول ليفوتيروكس بدون اجراء التحاليل لمطلوبة لاني عملتهم مرة وكان مؤلم افيدوني,الباطنة والغدد الصماء
تعرضت لالتواء في القدم من جهة الاصبع الصغير عند صعود الدرج و اصبح هنالك تورم و لم اعد اقدر على المشي لان التورم اصبح من الاسفل استعملت جل فولتارين و...,العظام والمفاصل
عند الام في الرقبة من قبل أيام حملت شىء ثقيل ورجعت الآلام قلت ستختفي كالعادة لانها تأتي و تزول لاكن مرة لم تزل احس الالم الرقبةنزوله عل يد يسرى اخذ...,العظام والمفاصل
اعاني من التهاب متكرر في البلعوم كل مرة اشفى ثم امرض علما اتي اتحسن على الدواء فهل لالتهاب البلعوم علاقة بدواء امتربتلين علما اني اتناوله حبة قبل النوم عيار 25...,طب وصحة الأسنان
انا كنت مدمن حشيش والحمد لله تبت كنت ادخن ٣ مرات في الاسبوع ومرات كل يوم استخدم صاروخين ومرات انقطع يومين او ثلاث غير منتظم وعندي فحص بعد ٤٢ يوم...,الصحة النفسية
"قبل ١٠ سنوات زوجي مسوي حادث وعقب الحادث فقد العصب في رجله الأيمن
سافر كذا بلاد ولما استفسر عن العلاج عرف إنه ماشي علاج
والحين أناشدكم اتساعدوني هل هناك علاج...",الأمراض العصبية
انا فتاه اعاني منذ 7 ايام الا الان من صداع بالراس شديد مع احتقان شديد بالانف وتاثر الاذن اليمنى بسبب الاحتقان شربت دواء لكن دون فائده,أنف وأذن وحنجرة
أبنتي عمرها 9 أشهر ومن بداية شهر الأول من عمرها يتحسس جلدها ويسبب ورم في عينها ووجهاا كامل وحكه ف الجلد....فما هو العلاج؟؟,الجلدية والتجميل
عندي اخي كتير مريض مدة شهرين يتحدث وحده و يضحك وحده و يشتم ارجوكم ساعدوني بحل,الصحة النفسية
"السلام عليكم ورحمة الله و بركاته
احبيتي فالله عندي استفسار
انا مريض بمرض الاكتئاب والعصبه وزرت الدكتور
وقلتله من اللي اعاني منه فعطاني دواء اسمه linz
فيسبب النعاس و التعب",الأمراض العصبية
أعاني من ظهور حبوب خارج الأنف وحولها تكون مؤلمة في بدايتها ولا تشفى إلا بتصفية ما بداخلها وتترك بقعة داكنة اللون فترة طويلة ما العمل وكيف الشفاء منه وبما تنصحوني...,الجلدية والتجميل
أستخدم علاج ريسبردال صار لي اسبوع وثلاث ايام تقريباً واشعر بخوف عند النوم وقلق وايضاً اشعر باالنعاس طوال اليوم هل تستمر معي او عرض ويختفي ؟,الصحة النفسية
ماهي الفواكه الممنوعه في الرجيمات بشكل عام ؟وهل المانجو منها؟ولماذا تمنع؟,التغذية والدواء
اولا ظهر لي التهاب في الفم ثم انشقاق شديد في السه والم شديد وضهر شي كره مثل الورم اسفل الفك الايسر وصداع متكرر وسبب وجود الورم تحت الفك عند الرقبه,طب وصحة الأسنان
بنتي عندها تورم فوجه مع الحمى,طب وصحة الأسنان
كيس في الجهة اليمني بالدماغ والشاب يعاني منزيتدة شحنات من سبع سنوات هل للكيس علاقة بالشحنات,الأمراض العصبية
السلام عليكم انة قبل فترة سالت عن ابني عن عدم قدرتة علي الكلام ورحت راجعت دكتور و قالولي انة ابني مصاب بلتوحد السلوكي اريد اعرف عن هذا الشي وقالو لي...,صحة الطفل
ما هو ورم الرأس الحميد؟أسبابه؟أعراضه؟,الأورام
"السلام عليكم
اشعر بالام في الراس
الام ظاغطه على الراس ليست بصداع
لكن اشعر بها في الجمجمه
لايوجد لدي سكر او ظغط الحمدالله
ولا اعلم الاسباب",الأمراض العصبية
ما فائدة تناول حبوب الكولاجين؟,التغذية والدواء
"السلام عليكم …
انا مشاكل الأسنان عندى كثيره اخر مزهقت حشيت 3 دروس حشو مؤقت من 4شهور وسيبهم لحد دلوقتى والحمد الله مفيش وجع … هل فيه مشكله ممكن تحصل...",طب وصحة الأسنان
عندما كنت امارس العاده فى بعض الاحيان بعد الانتهاء وعند خروج البول اشعر بالم ف اول القضيب,المسالك البولية
اعاني احياناً من الم في الرأس فوق العينين وخصوصاً بعد الخروج من المدرسة ويصاحبه احيانا الم في الاذن واحياناً يأتيني عند الجلوس من النوم مباشرة ذهبت للمستشفى بخصوص الام الاذن...,أنف وأذن وحنجرة
"اخي يعاني صداع مزمن وعند عمل فحوصات اتضح ان لديه مياه في الراس ضاغطه على اعصاب فقام بعمل عمليه لابعاد الاعصاب ويستخدم دواء لحد الان
وهذي الفتره عاد الالم اكثر...",الأمراض العصبية
اعاني وجع بالصدر خططت القلب تحت الجهد النتيجه تمام وعملت ايكو النتيجه تمام عملت طبقي مع حقن للشراين الاكليليه وتبين في ظاهره جسر خفيفه في وسط الشريان النازل ولايوجد تضيق,القلب والأوعية الدموية
انا سويت عمليه انفصال شبكيه قبل 4شهور وكانت عيني حمره وبعدين بدأ يخف الاحمرار والحين رجعت حمره بالكامل هل هاذا طبيعي,طب العيون
تورم في مؤخرة الرأس والقفا والربع العلوي من الظهر صاحبه سخونة طفيفة ودوخة طفيفة وتكسر الجسم، الطبيب قال التهاب خلوي ووصف مضاد حيوي ل١٤ يوم،أخذت الدواء وزالت الأعراض ماعدا الورم...,الأمراض العصبية
انا قبل اسبوع كنت جالسه مع العائلة شعرت ان خدي الايسر تشنج وبعدها فقدت الوعي صابني تشنج مفاجىء وعند الذهاب للمستشفى كل الفحوصات سليمه ماسبب التشنجات المفاجى للكبار ؟,الأمراض العصبية
"عمري 31 أعاني منذ الصغر من حالة التبول اليلي حيث يكون غير منظم و غير ثابت , أحيانا 2 إلى 3 مرات في الأسبوع أو 2 إلى 3 مرات في...",المسالك البولية
ابني عمره الان ٤شهور أعطيته بسكوت فارليز وبعد فتره أعطيته جزر وكوسا بعدها أعطيته تفاح بس ما تقبله جبتله سيريلاك الأرز بس كان يضل مدايق لما ياخده شو ممكن اطعميه,صحة الطفل
جريت عمليةانحراف للانف بسبب ضيق بالتنفس من اسبوع ومن يومين ازال الطبيب الحاجز البلاستيكي الموجود في الانف اول يوم كان التنفس طبيعي ولكن اليوم نفس الفتحةفيها ضيق بالتنفس ماالحل,أنف وأذن وحنجرة
انا اعاني من كحه لمدة ٦ شهور وعملت اشعه الان وتببن معي التهاب بالشعب الهوائيه ووصفلي الدكتور مضاد وينكس ٢٠٠ حبتين باليوم سؤالي لمدة كم يوم وانا اكل هذا المضاد؟,أنف وأذن وحنجرة
هل وجد علاج للتصلب اللويحي حتى لو من ذو 25 سنه وهو طريح الفراش ويتكلم بطريقه غير مفهومه ولايستطيع اي حركه بالايدي والارجل ولكنه ياكل عادي وادراكه واستيعابه جيد هل...,الأمراض العصبية
اناقبل سنه تقريباجتني حاله نفسيه كنت ابكي طول الوقت من دون سبب ومكنتت ابي الناس و الدنيا سودا بعيني،واللحين صرت عاديه بس موب قادره احس بمشاعر الفرح اببدا ممكن تفسر...,الصحة النفسية
مامدى فاعلية golden pure herbal في القضاء على الكلف والنمش ؟,الجلدية والتجميل
ما علاج المسامات الواسعه لبشرة الوجه والانف خاصه,الجلدية والتجميل
أعاني من وجود ضباب في الروية وافقد نصف الصورة من عيني الايمنةما هو العلاج,طب العيون
احس بألم فالجهة اليسرى من ظهري تحت عظمة الكتف ماسببه,العظام والمفاصل
هل شرب الزنجبيل يسبب سيولة في الدم؟,التغذية والدواء
"السلام عليكم ورحمة الله
لدي تحت عيني اليمنى مثل الرجف يحدث لي ولا ادري ماهو السبب في ذلك
وانا خايف جداً :(",طب العيون
عندما أقف لمدة أكثر من ٢٠ دقيقه أحس بالغثيان وأحس بثقل في كثفي مابقدر ارفعهم وارتفاع حرارة واذا ماجلست عيوني تصير كأني بشوف نجوم وتعتم مع ضيق التنفس واغماء ماعندي...,طب العيون
الفترة الزمنية التي تستغرقها الحيوانات المنويه للعوده بعد العلاج الكيميائي؟,الأورام
"عمري 16 سنة أعاني من ألم يمتد من أسفل الظهر إلى الورك العلوي, الألم يظهر عند الوقوف لفترة أو المشي. بعد أن اقف لفترة أو اتمشى ومن ثم اقوم بالانحناء...",العظام والمفاصل
اعانى من الازمة التنفسية و ذهبت للطبيب و تابعت العلاج و كانت حالتى جيدة و لكن عندما توقف مرضت مرة اخرى ارتاح الا بعد اخذ foradil ما الحل علما بانى...,أنف وأذن وحنجرة
منذ سنتين تم تشخيص أنه يوجد كيس في رأسي في الغدة الصنوبرية ويأتيني صداع لدرجة أنني أفقد الوعي بسبب الصداع وتأتيني حالة صرع هل يجب ان اجري عملية جراحية لأنه...,الأمراض العصبية
السلام عليكم.. دكتور انا جاني تنمل في اصبعي الوسطى قبل ٤ شهر والان جاني تنمل في الابهام وذراعي الأيسر فجأه مع تشوش ف النظر,الأمراض العصبية
